#       k             kp                  V           
   0.066417       2.069505         3.002668e-04      
   0.066417       2.140761         9.565290e-03      
   0.066417       2.210289         1.468564e-02      
   0.066417       2.277902         1.677976e-02      
   0.066417       2.343418         1.682043e-02      
   0.066417       2.406661         1.559933e-02      
   0.066417       2.467459         1.371831e-02      
   0.066417       2.525649         1.160214e-02      
   0.066417       2.581075         9.524996e-03      
   0.066417       2.633586         7.643334e-03      
   0.066417       2.683041         6.028808e-03      
   0.066417       2.729306         4.697208e-03      
   0.066417       2.772258         3.631394e-03      
   0.066417       2.811780         2.797879e-03      
   0.066417       2.847765         2.157776e-03      
   0.066417       2.880118         1.673289e-03      
   0.066417       2.908749         1.311031e-03      
   0.066417       2.933583         1.043278e-03      
   0.066417       2.954553         8.480365e-04      
   0.066417       2.971601         7.084996e-04      
   0.066417       2.984682         6.123001e-04      
   0.066417       2.993761         5.507659e-04      
   0.066417       2.998815         5.182901e-04      
   0.066417       3.004739         4.817970e-04      
   0.066417       3.024957         3.693796e-04      
   0.066417       3.061273         2.097285e-04      
   0.066417       3.113597         5.740953e-05      
   0.066417       3.181789         -4.310062e-05     
   0.066417       3.265666         -7.732605e-05     
   0.066417       3.365002         -6.310266e-05     
   0.066417       3.479529         -3.285055e-05     
   0.066417       3.608938         -1.030629e-05     
   0.066417       3.752880         -9.324289e-07     
   0.066417       3.910968         7.443730e-07      
   0.066417       4.082775         3.686643e-07      
   0.066417       4.267838         6.915353e-08      
   0.066417       4.465657         7.944352e-10      
   0.066417       4.675701         -1.957403e-09     
   0.066417       4.897402         -2.808549e-10     
   0.066417       5.130163         1.545043e-12      
   0.066417       5.373356         2.841683e-12      
   0.066417       5.626327         1.062962e-13      
